,del Crv,ICRS,12,29,51.8551642,-16,30,55.552542,-210.49,-138.74,13.9,37.55,2.94
,gam Eri,ICRS,3,58,1.7669489,-13,30,30.66977,61.57,-113.11,60.81,16.04,2.94
,alf Aqr,ICRS,22,5,47.0359315,0,19,11.456766,18.25,-9.39,6.83,6.23,2.94
,eta Peg,ICRS,22,43,0.128844948,30,13,16.372969392,19.957,-18.971,4.17,16.63,2.95
,alf Ara,ICRS,17,31,50.4915282,-49,52,34.122041,-33.27,-67.22,0,12.2,2.95
,eps Crv,ICRS,12,10,7.4805825,-22,37,11.161983,-71.74,10.25,5,10.26,2.98
,mu01 Sco,ICRS,16,51,52.2283548696,-38,2,50.6380704,-10.451,-18.315,-7.6,1.87,2.98
,eps Leo,ICRS,9,45,51.0733004,23,46,27.320834,-45.61,-9.21,4.32,13.22,2.98
,eps Gem,ICRS,6,43,55.926259,25,7,52.051484,-5.57,-12.36,7.77,3.86,2.98
,eps Aur,ICRS,5,1,58.134368676,43,49,23.917115316,0.883,-3.065,-10.4,0.99,2.99
,zet Aql,ICRS,19,5,24.6080155,13,51,48.518212,-7.25,-95.56,-25,39.28,2.99
,gam02 Sgr,ICRS,18,5,48.4880988,-30,25,26.723458,-53.92,-180.9,22,33.67,2.99
,ups Car,ICRS,9,47,6.1217,-65,4,19.2267,-11.51,4.71,13.6,2.27,2.99
,iot01 Sco,ICRS,17,47,35.0811299,-40,7,37.189349,0.01,-6.24,-27.6,1.69,2.992
,zet CMa,ICRS,6,20,18.7920398,-30,3,48.120242,7.32,4.03,32.2,9,3
,gam Hya,ICRS,13,18,55.2971856,-23,10,17.451401,68.99,-41.85,-4.86,24.37,3
,alf Gem B,ICRS,7,34,36.100452,31,53,18.57117,-206.3,-148.2,-1.2,NA,3
,bet Tri,ICRS,2,9,32.62712,34,59,14.2694,149.16,-39.1,12.3,25.71,3
,gam UMi,ICRS,15,20,43.7160391,71,50,2.459561,-17.73,17.9,-3.9,6.7,3.002
,psi UMa,ICRS,11,9,39.8086764,44,29,54.55205,-62.02,-27.41,-3.39,22.57,3.01
,gam Gru,ICRS,21,53,55.7261962,-37,21,53.478974,98.07,-13.22,0.1,15.45,3.01
,del Per,ICRS,3,42,55.5042561,47,47,15.174633,25.58,-43.06,4,6.32,3.01
,gam Boo,ICRS,14,32,4.6717964,38,18,29.70427,-115.71,151.16,-32.4,37.58,3.02
,omi02 CMa,ICRS,7,3,1.472115,-23,49,59.852308,-2.21,3.61,48.4,1.18,3.02
,zet Tau,ICRS,5,37,38.6854231,21,8,33.158804,1.78,-20.07,20,7.33,3.03
,mu UMa,ICRS,10,22,19.7397659,41,29,58.269105,-81.47,35.34,-21.3,14.16,3.05
,alf Her,ICRS,17,14,38.85818,14,23,25.2262,-7.32,36.07,-32.09,9.07,3.06
,del Dra,ICRS,19,12,33.3019645,67,39,41.545581,95.74,91.92,24.82,33.48,3.07
,zet Ara,ICRS,16,58,37.2121689,-55,59,24.520302,-17.8,-36.67,-6,6.71,3.076
,bet01 Cyg,ICRS,19,30,43.28052,27,57,34.8483,-7.17,-6.15,-24.07,7.51,3.08
,bet01 Cap,ICRS,20,21,0.6665981712,-14,46,53.067367488,44.133,0.36,-19,8.4,3.08
,zet Hya,ICRS,8,55,23.6261352,5,56,44.03538,-100.06,15.46,22.3,19.51,3.1
,kap Cen,ICRS,14,59,9.6849382,-42,6,15.106919,-17.62,-22.51,8,8.51,3.11
,alf Ind,ICRS,20,37,34.0320077,-47,17,29.402601,49.24,66.53,-1.3,33.17,3.11
,nu Hya,ICRS,10,49,37.4887449,-16,11,37.135989,93.35,198.88,-1.37,22.69,3.11
,eta Sgr,ICRS,18,17,37.6350518,-36,45,42.066723,-129.56,-166.26,0.2,22.35,3.11
,bet Col,ICRS,5,50,57.5921991,-35,46,5.915211,54.77,404.2,89.4,37.41,3.12
,iot UMa A,ICRS,8,59,12.4531549177,48,2,30.56229847,-439.836,-214.071,9,68,3.13
,del Her,ICRS,17,15,1.91058,24,50,21.1451,-21.18,-156.48,-40,43.41,3.13
,N Vel,ICRS,9,31,13.3189137,-57,2,3.75778,-32.54,5.87,-13.9,13.65,3.139
,iot UMa,ICRS,8,59,12.45362,48,2,30.5741,-441.29,-215.32,9,68.92,3.14
,phi Sgr,ICRS,18,45,39.3861043,-26,59,26.794441,50.61,1.22,21.5,13.63,3.14
,alf Lyn,ICRS,9,21,3.300210487,34,23,33.213441656,-218.723,16.555,38.47,14.7,3.14
,lam Cen,ICRS,11,35,46.8780907704,-63,1,11.405976996,-33.863,-7.236,-1.1,8.28,3.14
,nu Pup,ICRS,6,37,45.6713527,-43,11,45.360171,-0.44,-3.87,30.9,8.78,3.17
,zet Dra,ICRS,17,8,47.1959624,65,42,52.863384,-20.43,19.61,-17.7,9.93,3.17
,tet01 Eri,ICRS,2,58,15.6763576272,-40,18,16.839497196,-52.273,23.058,11.9,19.9,3.18
,tet UMa,ICRS,9,32,51.4338939,51,40,38.281102,-947.46,-535.6,14.36,74.19,3.18
,eta Aur,ICRS,5,6,30.8933734,41,14,4.112721,31.45,-67.87,7.3,13.4,3.18
,eps Lep,ICRS,5,5,27.6653698,-22,22,15.723893,21.13,-73.11,1.01,15.29,3.18
,pi Her,ICRS,17,15,2.8343634,36,48,32.98434,-27.29,2.82,-25.57,8.66,3.18
